4307517-	0		0	Tue Jun 04 13:44:14 +0800 2013			3585463836798289	3585463836798289				3585463836798289	0			27	<a href=" rel="nofollow">微博 weibo.com</a>	//@Peter王强: 转发微博			1677853832	00	3585420983835959	1397729927341
4307518-	2		0	Fri Jan 10 22:06:06 +0800 2014			3665315462485122	3665315462485122				3665315462485122	0			0	<a href=" rel="nofollow">微博 weibo.com</a>	//@SEE创绿家: #创绿家在行动#[给力]期待以后越来越多的出现！			1677853832	00	3665309535649361	1397729927342
4307519-	0		0	Sat Aug 10 22:08:10 +0800 2013			3609870639032425	3609870639032425				3609870639032425	0			0	<a href=" rel="nofollow">iPad客户端</a>	转发微博			1677853832	00	3609868621119784	1397729927342
4307520-	0		0	Fri Aug 03 20:59:53 +0800 2012			3475045164671979	3475045164671979				3475045164671979	0			1	<a href=" rel="nofollow">微博 weibo.com</a>	转发微博			1677853832	00	3475043214449561	1397729927342
4307521-	0		0	Wed Jan 22 23:18:00 +0800 2014			3669682206292679	3669682206292679				3669682206292679	0			2	<a href=" rel="nofollow">云os_智能机</a>	春节好，过年要紧。//@梁春晓ali://@谢文: 功权好好休息一下，已经是冬末春初的日子了。//@作业本: //@潘石屹:新年好！//@袁莉wsj:出来就好。			1677853832	00	3669653290788768	1397729927342
4307522-	0		0	Mon Sep 16 18:47:27 +0800 2013			3623228473436232	3623228473436232				3623228473436232	0			3	<a href=" rel="nofollow">微博 weibo.com</a>	哈，都国际化了呀。让更多的人走进自然，爱护自然，真棒！对于这样的民间组织，应该大力支持，可是，注册难，开票难，生存的确艰辛			1677853832	00	3622947320799415	1397729927343
4307523-	0		0	Sat Aug 31 14:04:54 +0800 2013			3617359162074007	3617359162074007				3617359162074007	0			1	<a href=" rel="nofollow">Android客户端</a>	挺好的千禾。//@刘帅168:千禾多支持湖南的NG0! //@绿色潇湘:感谢千禾的支持！			1677853832	00	3617298751084341	1397729927343
4307524-	0		0	Sun May 20 10:38:50 +0800 2012			3447709782757114	3447709782757114				3447709782757114	0			1	<a href=" rel="nofollow">iPad客户端</a>	 //@才华烨: 今天是＂520＂我们年轻人的节日，也是你们藏历3月30日，释迦牟尼佛节日，祝大家都快乐[酷] //@LaBrang�Monks:[帅]			1677853832	00	3447684674982726	1397729927343
4307525-	0		1	Tue Mar 04 20:02:02 +0800 2014			3684490797226442	3684490797226442				3684490797226442	0			2	<a href=" rel="nofollow">微博 weibo.com</a>	这才是大理应该有的态度。//@管清友: 这就是很好的态度。//@财经网: 【郑重转发】大理警方：在3月2日对流动人员身份核查中，工作方式方法确实欠妥，我们已责成当事民警向阿布都当面道歉；大理警方在此也向当事人及全体网友道歉！			1677853832	00	3684465148413997	1397729927343
4307526-	0		0	Thu Apr 10 11:51:30 +0800 2014			3697775696959887	3697775696959887				3697775696959887	0			0	<a href=" rel="nofollow">微博 weibo.com</a>	[赞][赞][赞][赞]			1677853832	00	3697775016950167	1397729927344
4307527-	0		1	Sat Aug 31 14:06:19 +0800 2013			3617359519001981	3617359519001981				3617359519001981	0			4	<a href=" rel="nofollow">Android客户端</a>	干热河谷，要防次生灾害。@壹基金 //@益西扎西://@图登嘉措:[蜡烛][蜡烛][蜡烛]//@唯美香格里拉:[蜡烛][蜡烛][蜡烛]  //@MiMi和: [蜡烛][蜡烛][蜡烛] //@香格里拉同城会:[蜡烛]//@纪某ZzZz: 朋友圈里看到的照片，一张张像针一样刺进心脏，希望重灾区人民平安[蜡烛]			1677853832	00	3617325171173874	1397729927344
4307528-	0		1	Thu Mar 28 13:31:44 +0800 2013			3560818316586254	3560818316586254				3560818316586254	0			4	<a href=" rel="nofollow">微博 weibo.com</a>	非法砍的不少，而打着“森林云南”和中低效林改造的合法幌子的森林改造更不在少数。//@杨福泉: 已经看到中央电视台焦点访谈的播报，并已发表评论。森林云南的建设，首先要杜绝类似恶劣的行为。			1677853832	00	3560590133646448	1397729927344
4307529-	0		0	Thu Feb 21 19:25:47 +0800 2013			3548223832584924	3548223832584924				3548223832584924	0			1	<a href=" rel="nofollow">微博 weibo.com</a>	@王明雯 @王灿发 @老桩hp @margie @赵树清 @余继春 //@解焱: 总结得好 //@学佛修行:愿有限的自然保护地得到应有的保护；愿所有的保护地能够得到合理分类；愿保护地功能分区趋于合理，以使当地社区的土地利用需求与保护之间的矛盾得到缓解；			1677853832	00	3547870135135593	1397729927344
