823643-	0		4	Thu Mar 29 22:50:48 +0800 2012			3429049819028858	3429049819028858				3429049819028858	0		#	2	<a href=" rel="nofollow">微博 weibo.com</a>	这修心悟语值得一读：＂ 一个人的美丽，并不是容颜，而是所有经历过的往事，在心中留下伤痕又褪去，令人坚强而安谧。所以，优雅并不是训练出来的，而是一种阅历。淡然并不是伪装出来的，而是一种沉淀。从某种意义上来说，人永远都不会老，老去的只是容颜，时间会让一颗灵魂，变得越来越动人。＂			1881738132	00	0	1397720010417
823644-	0		2	Thu May 24 14:21:35 +0800 2012			3449215395448797	3449215395448797				3449215395448797	0			1	<a href=" rel="nofollow">Android客户端</a>	吸引力法则的力量[鼓掌][耶]。			1881738132	00	3449209972190641	1397720010417
823645-	0		0	Thu Dec 20 14:56:57 +0800 2012			3525325743331494	3525325743331494				3525325743331494	0		#	0	<a href=" rel="nofollow">Android客户端</a>	[心]美好的一天!早晨收获了感动,此时收获着欣喜![太开心]			1881738132	00	0	1397720010418
823646-	0		2	Mon May 07 12:48:05 +0800 2012			3443031267359320	3443031267359320				3443031267359320	0			0	<a href=" rel="nofollow">微博 weibo.com</a>	[呵呵] //@周峰John:转发微博			1881738132	00	3443029312600082	1397720010418
823647-	0		2	Thu Jan 26 20:50:16 +0800 2012			3406189046350098	3406189046350098				3406189046350098	0			0	<a href=" rel="nofollow">Android客户端</a>	磁器口街景			1881738132	00	3406171828858812	1397720010419
823648-	3		3	Mon Jan 27 12:39:33 +0800 2014			3671333474913376	3671333474913376				3671333474913376	0		#	1	<a href=" rel="nofollow">iPhone客户端</a>	[心]成功的路上不是很拥挤，因为很多人都不坚持，所以就早早退出了，只要你选择正确，不断坚持，在不断改变中成长，成功一定属于你！路选对了，再远也是近的；路选错了，再近也是遥远而到达不了的！			1881738132	00	0	1397720010419
823649-	0		0	Mon Nov 14 18:43:57 +0800 2011			3379702947417436	3379702947417436				3379702947417436	0			0	<a href=" rel="nofollow">微博 weibo.com</a>	回复@海菱Lotus:[太开心][鼓掌][偷笑] //@海菱Lotus:回复 @love映霓:[可爱]好啊，友人、亲人、爱人平等[做鬼脸]			1881738132	00	3379667348239652	1397720010419
823650-	0		0	Tue Dec 13 09:45:24 +0800 2011			3390076663586666	3390076663586666				3390076663586666	0			0	<a href=" rel="nofollow">Android客户端</a>	[蜡烛][蜡烛][蜡烛]//@��花落花�:我们时时谨记：安全第一，每天的出行不只是个人的工作，不止是幼儿园的 任务，而是承载几十多个家庭的幸福，祖国寄予的厚望…// @张小陌ok :保佑孩子们都没事…			1881738132	00	3389901041193855	1397720010419
823651-	0		0	Mon Dec 19 21:53:56 +0800 2011			3392434334006243	3392434334006243				3392434334006243	0			0	<a href=" rel="nofollow">微博 weibo.com</a>	西安电视台报道我们天智神画工作室，为残疾儿童搭建学习艺术的平台。爱心满满的学妹向你致敬！！！ [爱你][爱你][爱你] 			1881738132	00	0	1397720010420
823652-	0		5	Tue Nov 22 18:22:28 +0800 2011			3382596643858556	3382596643858556				3382596643858556	0		#	1	<a href=" rel="nofollow">Camera360照片分享</a>	50后书房一角 #风景# #Camera360照片分享#			1881738132	00	0	1397720010420
