2067339-	0		0	Fri Sep 27 16:33:49 +0800 2013			3627181114826329	3627181114826329				3627181114826329	0			0	<a href=" rel="nofollow">微访谈</a>	#台湾自由行#台湾民宿 是特点。。网上找下			1900292241	00	3626733972754763	1397723700034
2067340-	0		0	Mon Feb 03 20:27:24 +0800 2014			3673987927892476	3673987927892476				3673987927892476	0			0	<a href=" rel="nofollow">三星GALAXY S4 zoom</a>	哈哈，可惜昨晚不在大理！@大理旅游发布厅 @云南旅游发布厅 @云南旅游 @新浪云南 @大理你好 @大理发布			1900292241	00	3672746644689652	1397723700034
2067341-	1		0	Mon Aug 26 22:28:43 +0800 2013			3615674024455231	3615674024455231				3615674024455231	0		#	1	<a href=" rel="nofollow">微博 weibo.com</a>	#达人揪团带路 台湾自由行#环岛第十一日。花莲我们住在由@台湾青年活动中心 免费提供的花莲学苑，市中心环境不错，也适合背包散客不到四百台币。早上在屋顶还能拍日出。如果你在花莲,是个不错的选择.#旅行#@台湾自由行 @台�自由行�人 @台湾青年活动中心 @个人游台湾 @随意的灵魂 @紫霞湖的老猫			1900292241	00	0	1397723700035
2067342-	0		0	Fri Oct 12 15:13:13 +0800 2012			3500325069926758	3500325069926758				3500325069926758	0		#	0	<a href=" rel="nofollow">微博 weibo.com</a>	#谭迁的旅行世界#第一次见到沙漠是在内蒙的西部。。。可以在沙砾里打滚，撒野。#旅行#			1900292241	00	0	1397723700035
2067343-	0		0	Fri Feb 28 13:11:23 +0800 2014			3682937902125662	3682937902125662				3682937902125662	0			0	<a href=" rel="nofollow">微博 weibo.com</a>	转发希望[心]			1900292241	00	3682916259492318	1397723700035
2067344-	0		6	Sat Dec 08 14:20:13 +0800 2012			3520967852308649	3520967852308649				3520967852308649	0		#	0	<a href=" rel="nofollow">微博 weibo.com</a>	#谭迁的旅行世界#许景辉的江西婺源，明显是站在高处，才能广角收下全副画。。可惜上次去婺源时遭遇下雨，懒得去登山。好的摄影作品往往需要选择一个好天气，一个好时机。#新浪旅行#一起旅行吧！@新浪户外 @新浪广东 @新浪评论 @新浪旅游 @江西旅游 @江西风景独好 @江西赣州旅游 @中国最美的乡村婺源			1900292241	00	0	1397723700036
2067345-	0		1	Fri Aug 16 19:46:50 +0800 2013			3612009407006452	3612009407006452				3612009407006452	0			0	<a href=" rel="nofollow">Android客户端</a>	香港机场才4。1.....哈哈//@开心果果HB:赴台准备之货币兑换? ，在台湾机场就可换到，也可拿银联卡直接在台湾ATM上提款，有些银行每天第一次提款不要手续费，汇率比机场换汇银行还好。台湾所有城市的多数银行、邮局储蓄部也可兑换。然不要在香港机场换，那里汇率最差！最新台湾换钱取款攻略请戳h			1900292241	00	3611678149384425	1397723700036
2067346-	1		1	Sat Mar 01 18:54:38 +0800 2014			3683386666987127	3683386666987127				3683386666987127	0		#	3	<a href=" rel="nofollow">三星GALAXY S4 zoom</a>	请问台大大，这两个专家是什么关系？长得一样，却一个姓邵，一个姓郑；工作单位不同，办公室却一样，这是为什么呢？			1900292241	00	0	1397723700036
2067347-	0		0	Sat May 25 12:03:26 +0800 2013			3581814587662425	3581814587662425				3581814587662425	0			7	<a href=" rel="nofollow">微博 weibo.com</a>	大胡子[嘻嘻]			1900292241	00	3581791178570634	1397723700040
2067348-	0		0	Tue Jan 15 21:43:28 +0800 2013			3534850138589505	3534850138589505				3534850138589505	0			0	<a href=" rel="nofollow">微博 weibo.com</a>	#谭迁的旅行世界#今天在自己的小店加了一个新环节。。叫***故事。。。其实我也希望，想用这个板块给朋友也来分享旅行。比如：“用你的四五张行走图片，配上你的文字，放在店铺的首页”。（小店每天均浏览500次）。围观：			1900292241	00	0	1397723700041
